graph_id,nodes,edges,p,q,num_walks,walk_length,train_time,inference_time,total_runtime,memory_mb,sample_size,precision,recall,f1_score,roc_auc,map,true_positives
1,348,2866,0.2,1.0,5,40,3.470857620239258,0.4665701389312744,3.9374277591705322,9.583983421325684,50,0.12578616352201258,0.10452961672473868,0.11417697431018078,0.8568,0.28331685788793626,60
1,348,2866,0.2,1.0,5,80,5.314862012863159,0.4608464241027832,5.775708436965942,13.886126518249512,50,0.1509433962264151,0.1254355400696864,0.13701236917221693,0.8336000000000001,0.3039609054765601,72
1,348,2866,0.2,1.0,5,120,7.146132707595825,0.4728057384490967,7.618938446044922,17.716747283935547,50,0.12447257383966245,0.10278745644599303,0.11259541984732825,0.8416,0.3275653250116785,59
1,348,2866,0.2,1.0,10,40,5.242497682571411,0.4772205352783203,5.7197182178497314,13.808887481689453,50,0.14105263157894737,0.11672473867595819,0.12774070543374644,0.8644,0.33528892331343313,67
1,348,2866,0.2,1.0,10,80,8.812307596206665,0.45845842361450195,9.270766019821167,22.2991361618042,50,0.1522198731501057,0.1254355400696864,0.13753581661891118,0.8325,0.30426274112338536,72
1,348,2866,0.2,1.0,10,120,12.289309024810791,0.4602053165435791,12.74951434135437,29.942760467529297,50,0.1419491525423729,0.11672473867595819,0.12810707456978968,0.8394999999999999,0.3479964252255335,67
1,348,2866,0.2,1.0,20,40,8.65910530090332,0.46119236946105957,9.12029767036438,22.12714672088623,50,0.14680851063829786,0.12020905923344948,0.132183908045977,0.8392999999999999,0.3235834901300587,69
1,348,2866,0.2,1.0,20,80,15.691586971282959,0.45631861686706543,16.147905588150024,39.09126091003418,50,0.1452991452991453,0.11846689895470383,0.1305182341650672,0.8503000000000001,0.33445322360144947,68
1,348,2866,0.2,1.0,20,120,22.79175901412964,0.46820783615112305,23.25996685028076,54.386887550354004,50,0.1320754716981132,0.10975609756097561,0.11988582302568981,0.8433,0.3234175791528734,63
1,348,2866,0.2,1.0,40,40,15.628325939178467,0.46784448623657227,16.09617042541504,38.66334247589111,50,0.13771186440677965,0.1132404181184669,0.124282982791587,0.83,0.3469437910930638,65
1,348,2866,0.2,1.0,40,80,29.598175287246704,0.47559547424316406,30.073770761489868,72.67819499969482,50,0.14853556485355648,0.12369337979094076,0.13498098859315588,0.8233,0.31271381638351015,71
1,348,2866,0.2,1.0,40,120,44.35703682899475,0.4632871150970459,44.8203239440918,103.2828893661499,50,0.15644820295983086,0.1289198606271777,0.14135625596943646,0.8158000000000001,0.3447388469887792,74
1,348,2866,0.2,1.5,5,40,3.4385101795196533,0.4910776615142822,3.9295878410339355,9.584073066711426,50,0.13900414937759337,0.11672473867595819,0.1268939393939394,0.8482999999999999,0.2965416825540542,67
1,348,2866,0.2,1.5,5,80,5.1712353229522705,0.45483899116516113,5.626074314117432,13.88409423828125,50,0.1292372881355932,0.10627177700348432,0.11663479923518164,0.8418999999999999,0.3113642643204468,61
1,348,2866,0.2,1.5,5,120,6.976709842681885,0.4615452289581299,7.438255071640015,17.71125888824463,50,0.14042553191489363,0.11498257839721254,0.1264367816091954,0.8398,0.3231665210493811,66
