graph_id,algorithm,nodes,edges,avg_degree,runtime,memory_mb,sample_size,theoretical_complexity,runtime_per_node,precision,recall,f1_score,roc_auc,map,true_positives
7,Preferential Attachment,3730,85080,45.61930294906166,3.816251516342163,0.2109375,50,3730.0,0.07632503032684326,0.027083333333333334,0.0007639868359191349,0.0014860539551897578,0.8940499999999999,0.05838500184061779,13
6,Adamic-Adar,3670,84875,46.253405994550405,11.339486837387085,1.234375,50,7851515.66757493,0.2267897367477417,0.3034623217922607,0.008777614138438881,0.01706171991297378,0.9996,0.4371012971675823,149
6,Resource Allocation,3670,84875,46.253405994550405,8.555717945098877,0.31640625,50,7851515.66757493,0.17111435890197754,0.32382892057026474,0.009366715758468336,0.018206801786327727,0.9994,0.4395129256670113,159
7,Adamic-Adar,3730,85080,45.61930294906166,8.355682373046875,0.1,50,7762580.589812333,0.1671136474609375,0.39791666666666664,0.01122472966619652,0.021833561957018743,0.9992000000000001,0.3679435851925465,191
7,Common Neighbors,3730,85080,45.61930294906166,11.415939569473267,0.953125,50,7762580.589812333,0.22831879138946534,0.37083333333333335,0.010460742830277385,0.02034750800182899,0.9987,0.3311878848488866,178
8,Preferential Attachment,3833,86243,45.0002608922515,4.6778459548950195,0.671875,50,3833.0,0.09355691909790038,0.016,0.00046379500260884687,0.0009014592371401205,0.85655,0.06317567567567567,8
6,Jaccard Coefficient,3670,84875,46.253405994550405,16.4781973361969,1.234375,50,7851515.66757493,0.32956394672393796,0.2845528455284553,0.008247422680412371,0.016030228430755137,0.9875,0.3511521288513464,140
7,Resource Allocation,3730,85080,45.61930294906166,9.00376558303833,0.7578125,50,7762580.589812333,0.1800753116607666,0.4166666666666667,0.011753643629525154,0.02286236854138089,0.9994000000000001,0.4031097171833433,200
7,Jaccard Coefficient,3730,85080,45.61930294906166,12.007310628890991,0.11328125,50,7762580.589812333,0.24014621257781982,0.35833333333333334,0.010108133521391631,0.019661636945587563,0.997,0.3386179714757519,172
8,Common Neighbors,3833,86243,45.0002608922515,11.375058650970459,0.671875,50,7761915.00026089,0.22750117301940917,0.3394308943089431,0.009681720679459679,0.018826447212671217,0.99155,0.4275123015719878,167
8,Resource Allocation,3833,86243,45.0002608922515,10.045321702957153,0.6953125,50,7761915.00026089,0.20090643405914307,0.37398373983739835,0.010667285060003478,0.020742911898991037,0.9918500000000001,0.4671038574513137,184
8,Jaccard Coefficient,3833,86243,45.0002608922515,11.86678409576416,0.1,50,7761915.00026089,0.2373356819152832,0.32113821138211385,0.009159951301524727,0.01781184826109013,0.9776,0.35687598795766773,158
9,Common Neighbors,4003,88069,44.00149887584312,9.15818738937378,0.1,50,7750336.008993256,0.18316374778747557,0.373469387755102,0.010389462927216986,0.02021652673442333,0.99395,0.39682497976697256,183
9,Preferential Attachment,4003,88069,44.00149887584312,6.081294775009155,0.1,50,4003.0,0.1216258955001831,0.048,0.0013625525150448507,0.002649884067572044,0.85575,0.06659619179057988,24
8,Adamic-Adar,3833,86243,45.0002608922515,13.771913290023804,0.1,50,7761915.00026089,0.2754382658004761,0.35772357723577236,0.010203490057394632,0.019841046164252297,0.9923500000000001,0.45214736391289195,176
10,Preferential Attachment,4039,88234,43.69101262688784,2.12841534614563,0.1,50,4039.0,0.0425683069229126,0.042,0.001190003966679889,0.0023144321375433955,0.8170999999999999,0.0606111097373628,21
9,Adamic-Adar,4003,88069,44.00149887584312,10.617767095565796,0.1,50,7750336.008993256,0.21235534191131591,0.3979591836734694,0.011070739184739413,0.021542200618647818,0.99445,0.41823262466339023,195
10,Common Neighbors,4039,88234,43.69101262688784,9.13819432258606,0.1,50,7710065.616241642,0.1827638864517212,0.3665987780040733,0.010200034000113333,0.019847833278200465,0.9931,0.3428225967648777,180
9,Resource Allocation,4003,88069,44.00149887584312,10.244080543518066,0.1,50,7750336.008993256,0.20488161087036133,0.41513292433537835,0.01152492335642103,0.022427222007402093,0.9945499999999999,0.4188119970436384,203
9,Jaccard Coefficient,4003,88069,44.00149887584312,12.40979266166687,0.1,50,7750336.008993256,0.2481958532333374,0.33537832310838445,0.009310775519473147,0.018118543887753413,0.99265,0.36152720011461925,164
10,Adamic-Adar,4039,88234,43.69101262688784,7.669541358947754,0.1,50,7710065.616241642,0.15339082717895508,0.40122199592668023,0.011163370544568481,0.02172235086558606,0.99395,0.38736243173348206,197
10,Jaccard Coefficient,4039,88234,43.69101262688784,7.824474334716797,0.1,50,7710065.616241642,0.15648948669433593,0.34285714285714286,0.009520031733439112,0.018525665766113468,0.9921999999999999,0.36667565441851646,168
10,Resource Allocation,4039,88234,43.69101262688784,5.534422159194946,0.96875,50,7710065.616241642,0.11068844318389892,0.40816326530612246,0.011333371111237037,0.02205436400727794,0.99415,0.3854614125536321,200
